type;intensity;typeNum
psne;0.8409091;1
psne;0.9545455;1
psne;1.0681818;1
psne;1.1136364;1
psne;1.1818182;1
psne;1.2045455;1
psne;1.3181818;1
psne;1.2954545;1
psne;1.3863636;1
psne;1.4090909;1
psne;1.5454545;1
psne;1.6363636;1
psne;1.8181818;1
psne;1.9545455;1
psne;2.0909091;1
psor;0.5909091;2
psor;0.6818182;2
psor;0.7272727;2
psor;0.75;2
psor;0.7363636;2
psor;0.8181818;2
psor;0.8636364;2
psor;0.9318182;2
psor;0.9090909;2
psor;0.9545455;2
psor;1.1590909;2
psor;1.25;2
psor;1.3181818;2
psor;1.3636364;2
psor;1.2727273;2
healthy;1.0454545;3
healthy;1.2272727;3
healthy;1.2727273;3
healthy;1.2727273;3
healthy;1.3636364;3
healthy;1.3863636;3
healthy;1.7954545;3
